signal_date,execution_date,raw_macro_narrative,strategic_state_U1,strategic_state_U2,strategic_state_U3,strategic_state_U5
2008-01-02,2008-01-03,CREDIT_STRESS,,,,
2008-01-03,2008-01-04,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-04,2008-01-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-07,2008-01-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-08,2008-01-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-09,2008-01-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-10,2008-01-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-11,2008-01-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-14,2008-01-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-15,2008-01-16,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-16,2008-01-17,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-17,2008-01-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-18,2008-01-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-22,2008-01-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-23,2008-01-24,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-24,2008-01-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-25,2008-01-28,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-28,2008-01-29,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-29,2008-01-30,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-30,2008-01-31,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-01-31,2008-02-01,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-01,2008-02-04,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-04,2008-02-05,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-05,2008-02-06,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-06,2008-02-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-07,2008-02-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-08,2008-02-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-11,2008-02-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-12,2008-02-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-13,2008-02-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-14,2008-02-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-15,2008-02-19,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-19,2008-02-20,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-20,2008-02-21,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-21,2008-02-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-22,2008-02-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-25,2008-02-26,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-26,2008-02-27,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-27,2008-02-28,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-28,2008-02-29,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-02-29,2008-03-03,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-03,2008-03-04,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-04,2008-03-05,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-05,2008-03-06,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-06,2008-03-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-07,2008-03-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-10,2008-03-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-11,2008-03-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-12,2008-03-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-13,2008-03-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-14,2008-03-17,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-17,2008-03-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-18,2008-03-19,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-19,2008-03-20,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-20,2008-03-24,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-24,2008-03-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-25,2008-03-26,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-26,2008-03-27,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-27,2008-03-28,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-28,2008-03-31,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-03-31,2008-04-01,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-01,2008-04-02,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-02,2008-04-03,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-03,2008-04-04,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-04,2008-04-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-07,2008-04-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-08,2008-04-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-09,2008-04-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-10,2008-04-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-11,2008-04-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-14,2008-04-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-15,2008-04-16,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-16,2008-04-17,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-17,2008-04-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-18,2008-04-21,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-21,2008-04-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-22,2008-04-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-23,2008-04-24,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-24,2008-04-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-25,2008-04-28,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-28,2008-04-29,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-29,2008-04-30,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-04-30,2008-05-01,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-01,2008-05-02,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-02,2008-05-05,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-05,2008-05-06,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-06,2008-05-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-07,2008-05-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-08,2008-05-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-09,2008-05-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-12,2008-05-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-13,2008-05-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-14,2008-05-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-15,2008-05-16,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-16,2008-05-19,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-19,2008-05-20,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-20,2008-05-21,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-21,2008-05-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-22,2008-05-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-23,2008-05-27,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-27,2008-05-28,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-28,2008-05-29,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-29,2008-05-30,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-05-30,2008-06-02,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-02,2008-06-03,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-03,2008-06-04,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-04,2008-06-05,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-05,2008-06-06,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-06,2008-06-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-09,2008-06-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-10,2008-06-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-11,2008-06-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-12,2008-06-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-13,2008-06-16,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-16,2008-06-17,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-17,2008-06-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-18,2008-06-19,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-19,2008-06-20,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-20,2008-06-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-23,2008-06-24,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-24,2008-06-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-25,2008-06-26,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-26,2008-06-27,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-27,2008-06-30,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-06-30,2008-07-01,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-01,2008-07-02,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-02,2008-07-03,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-03,2008-07-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-07,2008-07-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-08,2008-07-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-09,2008-07-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-10,2008-07-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-11,2008-07-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-14,2008-07-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-15,2008-07-16,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-16,2008-07-17,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-17,2008-07-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-18,2008-07-21,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-21,2008-07-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-22,2008-07-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-23,2008-07-24,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-24,2008-07-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-25,2008-07-28,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-28,2008-07-29,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-29,2008-07-30,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-30,2008-07-31,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-07-31,2008-08-01,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-01,2008-08-04,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-04,2008-08-05,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-05,2008-08-06,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-06,2008-08-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-07,2008-08-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-08,2008-08-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-11,2008-08-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-12,2008-08-13,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-13,2008-08-14,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-14,2008-08-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-15,2008-08-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-18,2008-08-19,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-19,2008-08-20,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-20,2008-08-21,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-21,2008-08-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-22,2008-08-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-25,2008-08-26,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-26,2008-08-27,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-27,2008-08-28,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-28,2008-08-29,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-08-29,2008-09-02,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-02,2008-09-03,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-03,2008-09-04,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-04,2008-09-05,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-05,2008-09-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-08,2008-09-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-09,2008-09-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-10,2008-09-11,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-11,2008-09-12,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-12,2008-09-15,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-15,2008-09-16,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-16,2008-09-17,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-17,2008-09-18,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-18,2008-09-19,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-19,2008-09-22,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-22,2008-09-23,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-23,2008-09-24,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-24,2008-09-25,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-25,2008-09-26,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-26,2008-09-29,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-29,2008-09-30,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-09-30,2008-10-01,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-10-01,2008-10-02,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-10-02,2008-10-03,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-10-03,2008-10-06,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-10-06,2008-10-07,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-10-07,2008-10-08,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-10-08,2008-10-09,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
2008-10-09,2008-10-10,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS,CREDIT_STRESS
